group,count,TP,TN,FP,FN,TPR,FPR,FNR,SelectionRate
South Asian | F | 1,23,1,19,3,0,1.0,0.13636363636363635,0.0,0.17391304347826086
Indigenous | F | 1,22,1,19,1,1,0.5,0.05,0.5,0.09090909090909091
East/Southeast Asian | F | 4,22,1,20,0,1,0.5,0.0,0.5,0.045454545454545456
Latino | F | 2,22,1,18,3,0,1.0,0.14285714285714285,0.0,0.18181818181818182
Middle-Eastern | F | 2,20,1,16,2,1,0.5,0.1111111111111111,0.5,0.15
Latino | M | 5,19,1,16,1,1,0.5,0.058823529411764705,0.5,0.10526315789473684
South Asian | M | 0,17,1,13,3,0,1.0,0.1875,0.0,0.23529411764705882
South Asian | F | 4,17,0,17,0,0,,0.0,,0.0
Middle-Eastern | F | 3,17,0,15,2,0,,0.11764705882352941,,0.11764705882352941
Indigenous | F | 4,16,1,14,1,0,1.0,0.06666666666666667,0.0,0.125
Middle-Eastern | F | 1,16,1,12,2,1,0.5,0.14285714285714285,0.5,0.1875
Latino | F | 3,16,0,13,3,0,,0.1875,,0.1875
East/Southeast Asian | M | 0,15,0,12,3,0,,0.2,,0.2
Black | F | 5,14,0,13,1,0,,0.07142857142857142,,0.07142857142857142
East/Southeast Asian | F | 5,13,1,10,1,1,0.5,0.09090909090909091,0.5,0.15384615384615385
Latino | F | 1,12,0,9,2,1,0.0,0.18181818181818182,1.0,0.16666666666666666
Latino | M | 0,12,2,8,1,1,0.6666666666666666,0.1111111111111111,0.3333333333333333,0.25
Unknown or Legacy | F | 5,11,0,11,0,0,,0.0,,0.0
Middle-Eastern | F | 4,10,0,9,0,1,0.0,0.0,1.0,0.0
South Asian | M | 6,10,0,9,0,1,0.0,0.0,1.0,0.0
Indigenous | M | 5,8,2,5,1,0,1.0,0.16666666666666666,0.0,0.375
Unknown or Legacy | F | 0,8,0,7,0,1,0.0,0.0,1.0,0.0
South Asian | F | 0,7,0,6,1,0,,0.14285714285714285,,0.14285714285714285
East/Southeast Asian | F | 6,7,0,7,0,0,,0.0,,0.0
Latino | M | 6,6,0,6,0,0,,0.0,,0.0
East/Southeast Asian | F | 0,6,0,5,1,0,,0.16666666666666666,,0.16666666666666666
Middle-Eastern | M | 6,6,0,6,0,0,,0.0,,0.0
Unknown or Legacy | F | 6,5,0,5,0,0,,0.0,,0.0
Black | F | 6,4,0,4,0,0,,0.0,,0.0
Middle-Eastern | F | 0,4,0,3,1,0,,0.25,,0.25
Indigenous | F | 5,4,0,4,0,0,,0.0,,0.0
Middle-Eastern | F | 5,4,0,4,0,0,,0.0,,0.0
Latino | F | 4,4,1,3,0,0,1.0,0.0,0.0,0.25
Latino | F | 0,3,0,3,0,0,,0.0,,0.0
Indigenous | M | 6,3,0,2,1,0,,0.3333333333333333,,0.3333333333333333
South Asian | F | 6,2,0,2,0,0,,0.0,,0.0
Indigenous | M | 0,2,0,2,0,0,,0.0,,0.0
Latino | F | 6,2,0,2,0,0,,0.0,,0.0
Indigenous | F | 0,1,0,1,0,0,,0.0,,0.0
South Asian | F | 5,1,0,1,0,0,,0.0,,0.0
Latino | F | 5,1,0,1,0,0,,0.0,,0.0
